CLASS,SENTENCES,SNO
P,میں نے ایٹم بم بنایا ھے ۔۔۔۔او بھائی ایٹم بمب کوٹ لکھپت والی اتفاق فیکٹری میں نہیں بنتا۔ایٹم بم کہوٹہ کی ایٹمی۔۔۔ ,1
N,چندے سے انقلاب اور عمران خان وزیر اعظم نہیں بن سکتے ,2
P,ابھی تک اسکی لہریں کبھی کبھی آ جاتی ہیں یار :أْ ,3
N,گندی زبان اور گٹر جیسے دماغ والے جاهل جیالے هو تم۔ جیالا هو اور جاهل نه هو یه ممکن نهیں ۔ ,4
N,"قاتل بھی تم مقتول بھی تم,ظالم بھی ہم اور مظلوم بھی تم؟ ",5
P,ﻧﻮﺭ ﺑﻐﺪﺍﺩ ﮐﯽ ﮔﻠﯿﻮﮞ ﮐﺎ ﮨﮯ ﮨﺮ ﺍﯾﮏ ﮐﺮﻥ ﺍﺱ ﮐﯽ ﻣﺪﯾﻨﮧ ﺳﮯ ﭼﻠﯽ ﮨﮯ ,6
P,یہ لفظوں كى شرارت ھے سنبهل کر کچھ بهى لِكهنا تم محبت لفظ ھے ليكن یہ اكثر هو بهى جاتى ھے ۔۔۔۔! ,7
P,سمارٹ فون کے عادیوں کے لیے ڈجٹل ڈیٹاکس کیپ متعارف۔ ,8
P,وزیر اعظم کی زیر صدارت پارلیمانی رہنماؤں کا اجلاس ,9
P,سوچا تھا شہباز شریف وہاں سے کام آگے لے کر جائیں گے جہاں ہم نے چھوڑا چودھری پرویز الہٰی چودھری نے پنجاب تباہ کیا شہباز نے ترقیاتی کام کیے پنجاب کو سنوار دیا ,10
P,"تیز بارش ہو ، گھنا پیڑ ہو ، اِک لڑکی ہوایسے منظر کبھی شہروں میں تو پائے نہ گئے ",11
P,لاہور: دھرنوں کے باعث سیاسی عدم استحکام تھا۔ اب معاملہ سنبھل گیا ہے ۔ میاں مجتبی ,12
N,مؤرخ لکھے گاکہ مملکتِ خداد پر ایسا کڑا وقت بھی آیا کہ ایک ڈی جے کو پالنے کیلیے کسی لیڈر کو چندہ مانگناپڑ گیا۔چندے سے انقلاب ,13
P,اک کھیل نے ہمارا مقدر بدل دیا وہ تو ہمیں پکار کر ایسا چھپا کہ زوبی ,14
N,ابن ڈیزل ہواُکرے کوئی میرے درد کی دوا کرے کوئی ,15
P,پی ٹی آئی کا استعفے واپس نہ لینے کا اعلان ,16
N,: ایک پنجرے میں چھ طوطے ایک طوطی کو چھیڑ رھے تھے ۔ جبکہ دوسرے پنجرے ,17
N,"باجوڑ ایجنسی میں پولیو ٹیم پر حملہ، دو لیوی اہلکار زخمی ",18
N,سہیل بخاری کا کہنا تھا کہ تعزیتی ریفرنس میں یاسین ملک کے قریبی دوستوں کی شرکت نہ کرنے پر انہیں بہت افسوس ہے ,19
N,®[انقلاب/دھرنا/ڈیل]ماڈل ٹاﺅن میں جاں بحق ہونے والوں کوخون بہادینے کے علاوہ قادری کوعلیحدہ سے ستر کروڑدینے کابھی یقین دلایاگیا-رپورٹ ,20
N,ایک شرابی کے ہاں ہر وقت شراب کا دَور رہتا تھا۔ایک مرتبہ اس کے دوست احباب جمع تھے شراب تیار تھی اس نے اپنے غلام۔۔۔ ,21
P,اگر خیبر پختونخوا میں کوئی کام ھوا ھوتا تو پھر عمران کے دھرنوں کا جواز بن سکتا تھا ,22
P,انشا ءاللہ بابے دا ڈیرہ سے تا ریخی قافلہ گجرات جلسہ میں شر کت کر ے گا -ملک چاند محبوب ,23
N,"ا عمران خان کو ان دنوں شیدے کو دور بھگا دینا چاہیے جب ,اسکے بیٹے پاکستان میں ہوں ، یہ چھڑے چھانٹ اخلاقی گراوٹ کا شکار ہوتے ہیں ۔ ",24
P,"فتح حق اورسچ کی ہوئی،الطاف حسین کورابطہ کمیٹی کی مبارکباد ۔ ",25
P,"ﺍﻧﻘﻼﺏ ﮐﺎ ﺍﯾﺠﻨﮉﺍ ﻧﮧ ﺑﺪﻻ ﮨﮯ ﻧﮧ ﺑﺪﻟﮯ ﮔﺎ، ﮐﯿﺌﺮﭨﯿﮑﺮ ﺣﮑﻮﻣﺖ ﺑﮭﯽ ﻗﻮﻣﯽ ﺣﮑﻮﻣﺖ ﺑﻦ ﺳﮑﺘﯽ ﮨﮯ ﻣﮕﺮ ﻣﮏ ﻣﮑﺎ ﻭﺍﻟﯽ ﺣﮑﻮﻣﺖ ﻧﮩﯿﮟ ﭼﺎھتے ۔طاہر القادری ",26
